Fullwidth,Halfwidth
1100,ffa1,ᄀ,ﾡ
1101,ffa2,ᄁ,ﾢ
1102,ffa4,ᄂ,ﾤ
1103,ffa7,ᄃ,ﾧ
1104,ffa8,ᄄ,ﾨ
1105,ffa9,ᄅ,ﾩ
1106,ffb1,ᄆ,ﾱ
1107,ffb2,ᄇ,ﾲ
1108,ffb3,ᄈ,ﾳ
1109,ffb5,ᄉ,ﾵ
110a,ffb6,ᄊ,ﾶ
110b,ffb7,ᄋ,ﾷ
110c,ffb8,ᄌ,ﾸ
110d,ffb9,ᄍ,ﾹ
110e,ffba,ᄎ,ﾺ
110f,ffbb,ᄏ,ﾻ
1110,ffbc,ᄐ,ﾼ
1111,ffbd,ᄑ,ﾽ
1112,ffbe,ᄒ,ﾾ
111a,ffb0,ᄚ,ﾰ
1121,ffb4,ᄡ,ﾴ
1160,ffa0,ᅠ,ﾠ
1161,ffc2,ᅡ,ￂ
1162,ffc3,ᅢ,ￃ
1163,ffc4,ᅣ,ￄ
1164,ffc5,ᅤ,ￅ
1165,ffc6,ᅥ,ￆ
1166,ffc7,ᅦ,ￇ
1167,ffca,ᅧ,ￊ
1168,ffcb,ᅨ,ￋ
1169,ffcc,ᅩ,ￌ
116a,ffcd,ᅪ,ￍ
116b,ffce,ᅫ,ￎ
116c,ffcf,ᅬ,ￏ
116d,ffd2,ᅭ,ￒ
116e,ffd3,ᅮ,ￓ
116f,ffd4,ᅯ,ￔ
1170,ffd5,ᅰ,ￕ
1171,ffd6,ᅱ,ￖ
1172,ffd7,ᅲ,ￗ
1173,ffda,ᅳ,ￚ
1174,ffdb,ᅴ,ￛ
1175,ffdc,ᅵ,ￜ
11aa,ffa3,ᆪ,ﾣ
11ac,ffa5,ᆬ,ﾥ
11ad,ffa6,ᆭ,ﾦ
11b0,ffaa,ᆰ,ﾪ
11b1,ffab,ᆱ,ﾫ
11b2,ffac,ᆲ,ﾬ
11b3,ffad,ᆳ,ﾭ
11b4,ffae,ᆴ,ﾮ
11b5,ffaf,ᆵ,ﾯ
2190,ffe9,←,￩
2191,ffea,↑,￪
2192,ffeb,→,￫
2193,ffec,↓,￬
2502,ffe8,│,￨
25a0,ffed,■,￭
25cb,ffee,○,￮
3000,20,　,
3001,ff64,、,､
3002,ff61,。,｡
300c,ff62,「,｢
300d,ff63,」,｣
3099,ff9e,゙,ﾞ
309a,ff9f,゚,ﾟ
30a1,ff67,ァ,ｧ
30a2,ff71,ア,ｱ
30a3,ff68,ィ,ｨ
30a4,ff72,イ,ｲ
30a5,ff69,ゥ,ｩ
30a6,ff73,ウ,ｳ
30a7,ff6a,ェ,ｪ
30a8,ff74,エ,ｴ
30a9,ff6b,ォ,ｫ
30aa,ff75,オ,ｵ
30ab,ff76,カ,ｶ
30ac,ff76ff9e,ガ,ｶﾞ
30ad,ff77,キ,ｷ
30ae,ff77ff9e,ギ,ｷﾞ
30af,ff78,ク,ｸ
30b0,ff78ff9e,グ,ｸﾞ
30b1,ff79,ケ,ｹ
30b2,ff79ff9e,ゲ,ｹﾞ
30b3,ff7a,コ,ｺ
